# Description of the experiment:
#
# - We generate the costs to up to 5.000 tasks for 10 and 100 resources.
# - All costs follow random functions (i.e., random costs)
#   with RNG seeds [400..499].
# - We schedule from 1.000 to 5.000 tasks in increments of 100.
# - We run (MC)^2MKP, MarIn, MarCo, MarDec, and FedAvg.
# - All resources have a lower limit of 5.
# - The first half of the resources have no upper limit.
# - The second half has an upper limit of 2*(tasks/resources).
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Total Cost
MarIn,4000,100,66940.55120016212
MarCo,4000,100,234748.76489854962
MarDec,4000,100,198732.95370761288
FedAvg,4000,100,259539.16638115296
(MC)2MKP,4100,100,4949.028095247071
MarIn,4100,100,67520.41781840114
MarCo,4100,100,231412.48213798768
MarDec,4100,100,201160.65062665037
FedAvg,4100,100,253333.8129496079
(MC)2MKP,4200,100,4868.598784250025
MarIn,4200,100,51929.35920641546
MarCo,4200,100,234803.18112543458
MarDec,4200,100,181114.7271269292
FedAvg,4200,100,235185.5991408447
(MC)2MKP,4300,100,4706.114225107791
MarIn,4300,100,66577.13325233843
MarCo,4300,100,233563.9429097916
MarDec,4300,100,187909.65457920238
FedAvg,4300,100,244427.3450101869
(MC)2MKP,4400,100,4576.735786518813
MarIn,4400,100,51308.5268470589
MarCo,4400,100,233556.1984592324
MarDec,4400,100,186130.4636787907
FedAvg,4400,100,239234.012117882
(MC)2MKP,4500,100,4504.846679011583
MarIn,4500,100,55382.20717020267
MarCo,4500,100,235306.80126567205
MarDec,4500,100,198066.27372315334
FedAvg,4500,100,231269.58266116673
(MC)2MKP,4600,100,4423.379046821711
MarIn,4600,100,48726.300506703476
MarCo,4600,100,235715.06940334686
MarDec,4600,100,196729.07572294254
FedAvg,4600,100,235803.54088393366
(MC)2MKP,4700,100,4356.789702302539
MarIn,4700,100,51588.1472556215
MarCo,4700,100,232725.7611985694
MarDec,4700,100,186356.16100069493
FedAvg,4700,100,246865.08496020996
(MC)2MKP,4800,100,4290.80165046691
MarIn,4800,100,62009.14418313244
MarCo,4800,100,239293.25010910296
MarDec,4800,100,206739.6616868976
FedAvg,4800,100,245727.75986580615
(MC)2MKP,4900,100,4201.761135345987
MarIn,4900,100,65186.19229905608
MarCo,4900,100,234430.7244673436
MarDec,4900,100,191789.09107967047
FedAvg,4900,100,263315.6923855967
(MC)2MKP,5000,100,4052.209214948088
MarIn,5000,100,49128.51057885034
MarCo,5000,100,235447.49047857343
MarDec,5000,100,187923.01751195162
FedAvg,5000,100,246513.99191707902
