# Description of the experiment:
#
# - We generate the costs to up to 5.000 tasks for 10 and 100 resources.
# - All costs follow linear functions (i.e., constant marginal costs)
#   with RNG seeds [100..199].
# - We schedule from 1.000 to 5.000 tasks in increments of 100.
# - We run (MC)^2MKP, MarIn, MarCo, MarDec, and FedAvg.
# - All resources have a lower limit of 5.
# - The first half of the resources have no upper limit.
# - The second half has an upper limit of 2*(tasks/resources).
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Total Cost
MarDec,2600,100,5316.509622005596
FedAvg,2600,100,14091.504443137635
(MC)2MKP,2700,100,5418.336441633004
MarIn,2700,100,5418.336441633004
MarCo,2700,100,5418.336441633004
MarDec,2700,100,5418.336441633004
FedAvg,2700,100,14611.188159009425
(MC)2MKP,2800,100,5520.1632612604135
MarIn,2800,100,5520.1632612604135
MarCo,2800,100,5520.1632612604135
MarDec,2800,100,5520.1632612604135
FedAvg,2800,100,15130.871874881219
(MC)2MKP,2900,100,5621.990080887823
MarIn,2900,100,5621.990080887823
MarCo,2900,100,5621.990080887823
MarDec,2900,100,5621.990080887823
FedAvg,2900,100,15650.555590753007
(MC)2MKP,3000,100,5723.816900515231
MarIn,3000,100,5723.816900515231
MarCo,3000,100,5723.816900515231
MarDec,3000,100,5723.816900515231
FedAvg,3000,100,16170.239306624804
(MC)2MKP,3100,100,5825.64372014264
MarIn,3100,100,5825.64372014264
MarCo,3100,100,5825.64372014264
MarDec,3100,100,5825.64372014264
FedAvg,3100,100,16689.923022496594
(MC)2MKP,3200,100,5927.470539770049
MarIn,3200,100,5927.470539770049
MarCo,3200,100,5927.470539770049
MarDec,3200,100,5927.470539770049
FedAvg,3200,100,17209.606738368384
(MC)2MKP,3300,100,6029.2973593974575
MarIn,3300,100,6029.2973593974575
MarCo,3300,100,6029.2973593974575
MarDec,3300,100,6029.2973593974575
FedAvg,3300,100,17729.290454240177
(MC)2MKP,3400,100,6131.124179024866
MarIn,3400,100,6131.124179024866
MarCo,3400,100,6131.124179024866
MarDec,3400,100,6131.124179024866
FedAvg,3400,100,18248.974170111967
(MC)2MKP,3500,100,6232.950998652275
MarIn,3500,100,6232.950998652275
MarCo,3500,100,6232.950998652275
MarDec,3500,100,6232.950998652275
FedAvg,3500,100,18768.657885983765
(MC)2MKP,3600,100,6334.777818279684
MarIn,3600,100,6334.777818279684
MarCo,3600,100,6334.777818279684
MarDec,3600,100,6334.777818279684
FedAvg,3600,100,19288.341601855547
(MC)2MKP,3700,100,6436.604637907092
MarIn,3700,100,6436.604637907092
MarCo,3700,100,6436.604637907092
MarDec,3700,100,6436.604637907092
FedAvg,3700,100,19808.025317727344
(MC)2MKP,3800,100,6538.4314575345015
MarIn,3800,100,6538.4314575345015
MarCo,3800,100,6538.4314575345015
MarDec,3800,100,6538.4314575345015
FedAvg,3800,100,20327.709033599134
(MC)2MKP,3900,100,6640.258277161911
MarIn,3900,100,6640.258277161911
MarCo,3900,100,6640.258277161911
MarDec,3900,100,6640.258277161911
FedAvg,3900,100,20847.392749470924
(MC)2MKP,4000,100,6742.085096789319
MarIn,4000,100,6742.085096789319
MarCo,4000,100,6742.085096789319
MarDec,4000,100,6742.085096789319
FedAvg,4000,100,21367.076465342714
(MC)2MKP,4100,100,6843.911916416728
MarIn,4100,100,6843.911916416728
MarCo,4100,100,6843.911916416728
MarDec,4100,100,6843.911916416728
FedAvg,4100,100,21886.760181214508
(MC)2MKP,4200,100,6945.738736044137
MarIn,4200,100,6945.738736044137
MarCo,4200,100,6945.738736044137
MarDec,4200,100,6945.738736044137
FedAvg,4200,100,22406.443897086294
(MC)2MKP,4300,100,7047.5655556715465
MarIn,4300,100,7047.5655556715465
MarCo,4300,100,7047.5655556715465
MarDec,4300,100,7047.5655556715465
FedAvg,4300,100,22926.127612958087
(MC)2MKP,4400,100,7149.392375298956
MarIn,4400,100,7149.392375298956
MarCo,4400,100,7149.392375298956
MarDec,4400,100,7149.392375298956
FedAvg,4400,100,23445.811328829877
(MC)2MKP,4500,100,7251.219194926364
MarIn,4500,100,7251.219194926364
MarCo,4500,100,7251.219194926364
MarDec,4500,100,7251.219194926364
FedAvg,4500,100,23965.49504470168
(MC)2MKP,4600,100,7353.046014553774
MarIn,4600,100,7353.046014553774
MarCo,4600,100,7353.046014553774
MarDec,4600,100,7353.046014553774
FedAvg,4600,100,24485.17876057347
(MC)2MKP,4700,100,7454.872834181182
MarIn,4700,100,7454.872834181182
MarCo,4700,100,7454.872834181182
MarDec,4700,100,7454.872834181182
FedAvg,4700,100,25004.86247644526
(MC)2MKP,4800,100,7556.6996538085905
MarIn,4800,100,7556.6996538085905
MarCo,4800,100,7556.6996538085905
MarDec,4800,100,7556.6996538085905
FedAvg,4800,100,25524.54619231705
(MC)2MKP,4900,100,7658.526473436
MarIn,4900,100,7658.526473436
MarCo,4900,100,7658.526473436
MarDec,4900,100,7658.526473436
FedAvg,4900,100,26044.22990818884
(MC)2MKP,5000,100,7760.353293063408
MarIn,5000,100,7760.353293063408
MarCo,5000,100,7760.353293063408
MarDec,5000,100,7760.353293063408
FedAvg,5000,100,26563.91362406064
