# Description of the experiment:
#
# - We generate the costs to up to 5.000 tasks for 10 and 100 resources.
# - All costs follow n log n functions (i.e., increasing marginal costs)
#   with RNG seeds [200..299].
# - We schedule from 1.000 to 5.000 tasks in increments of 100.
# - We run (MC)^2MKP, MarIn, MarCo, MarDec, and FedAvg.
# - All resources have a lower limit of 5.
# - The first half of the resources have no upper limit.
# - The second half has an upper limit of 2*(tasks/resources).
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Total Cost
MarCo,1800,100,18886.074692632228
MarDec,1800,100,17725.26028381005
FedAvg,1800,100,29175.99083603472
(MC)2MKP,1900,100,18004.000891558833
MarIn,1900,100,18004.000891558833
MarCo,1900,100,20082.085712656346
MarDec,1900,100,18838.494320197344
FedAvg,1900,100,31297.158219883757
(MC)2MKP,2000,100,19067.118172721624
MarIn,2000,100,19067.118172721624
MarCo,2000,100,21288.670690167513
MarDec,2000,100,19962.399659181232
FedAvg,2000,100,33446.754242062685
(MC)2MKP,2100,100,20140.705884572668
MarIn,2100,100,20140.705884572668
MarCo,2100,100,22505.12561492489
MarDec,2100,100,21096.36754286566
FedAvg,2100,100,35623.36257135817
(MC)2MKP,2200,100,21224.31030629666
MarIn,2200,100,21224.31030629666
MarCo,2200,100,23730.834551377968
MarDec,2200,100,22239.896933871
FedAvg,2200,100,37825.70112296941
(MC)2MKP,2300,100,22317.765565733338
MarIn,2300,100,22317.765565733338
MarCo,2300,100,24965.254059745446
MarDec,2300,100,23392.433412509487
FedAvg,2300,100,40052.6038557042
(MC)2MKP,2400,100,23419.963485523982
MarIn,2400,100,23419.963485523982
MarCo,2400,100,26207.901090877633
MarDec,2400,100,24553.48401837954
FedAvg,2400,100,42303.00571482348
(MC)2MKP,2500,100,24530.75257017652
MarIn,2500,100,24530.75257017652
MarCo,2500,100,27458.34343692607
MarDec,2500,100,25722.607485332308
FedAvg,2500,100,44575.93006968099
(MC)2MKP,2600,100,25649.66554610624
MarIn,2600,100,25649.66554610624
MarCo,2600,100,28716.19209654376
MarDec,2600,100,26899.40645361847
FedAvg,2600,100,46870.47815037857
(MC)2MKP,2700,100,26776.195238602926
MarIn,2700,100,26776.195238602926
MarCo,2700,100,29981.09509732982
MarDec,2700,100,28083.521180624797
FedAvg,2700,100,49185.82010129569
(MC)2MKP,2800,100,27910.05140084935
MarIn,2800,100,27910.05140084935
MarCo,2800,100,31252.732443410685
MarDec,2800,100,29274.624404688777
FedAvg,2800,100,51521.18735373449
(MC)2MKP,2900,100,29051.072108367687
MarIn,2900,100,29051.072108367687
MarCo,2900,100,32530.81194297302
MarDec,2900,100,30472.41710818411
FedAvg,2900,100,53875.86608334962
(MC)2MKP,3000,100,30198.94929278067
MarIn,3000,100,30198.94929278067
MarCo,3000,100,33815.06573203968
MarDec,3000,100,31676.624990505898
FedAvg,3000,100,56249.19156624421
(MC)2MKP,3100,100,31353.274346152197
MarIn,3100,100,31353.274346152197
MarCo,3100,100,35105.24735498545
MarDec,3100,100,32886.99550765985
FedAvg,3100,100,58640.54328464192
(MC)2MKP,3200,100,32513.8590589718
MarIn,3200,100,32513.8590589718
MarCo,3200,100,36401.12929455727
MarDec,3200,100,34102.74739659325
FedAvg,3200,100,61049.340661758804
(MC)2MKP,3300,100,33680.636971165935
MarIn,3300,100,33680.636971165935
MarCo,3300,100,37702.50086804315
MarDec,3300,100,35323.414493821685
FedAvg,3300,100,63475.03932796383
(MC)2MKP,3400,100,34853.22205941196
MarIn,3400,100,34853.22205941196
MarCo,3400,100,39009.1664241286
MarDec,3400,100,36549.51152700987
FedAvg,3400,100,65917.12783804059
(MC)2MKP,3500,100,36031.38323283189
MarIn,3500,100,36031.38323283189
MarCo,3500,100,40320.94378854578
MarDec,3500,100,37780.85361775099
FedAvg,3500,100,68375.1247734541
(MC)2MKP,3600,100,37215.06108924295
MarIn,3600,100,37215.06108924295
MarCo,3600,100,41637.66291701408
MarDec,3600,100,39017.268116245585
FedAvg,3600,100,70848.57617481236
(MC)2MKP,3700,100,38403.95676584752
MarIn,3700,100,38403.95676584752
MarCo,3700,100,42959.16472201406
MarDec,3700,100,40258.59342251078
FedAvg,3700,100,73337.0532588136
(MC)2MKP,3800,100,39597.9935073622
MarIn,3800,100,39597.9935073622
MarCo,3800,100,44285.30004621704
MarDec,3800,100,41504.67795483846
FedAvg,3800,100,75840.15038135454
(MC)2MKP,3900,100,40797.052615510336
MarIn,3900,100,40797.052615510336
MarCo,3900,100,45615.92876033901
MarDec,3900,100,42755.379243148236
FedAvg,3900,100,78357.48321450774
(MC)2MKP,4000,100,42000.94535721057
MarIn,4000,100,42000.94535721057
MarCo,4000,100,46950.91896711418
MarDec,4000,100,44010.563128841844
FedAvg,4000,100,80888.68711002526
(MC)2MKP,4100,100,43209.53238442003
MarIn,4100,100,43209.53238442003
MarCo,4100,100,48290.14629622371
MarDec,4100,100,45270.10305593047
FedAvg,4100,100,83433.41562611719
(MC)2MKP,4200,100,44422.67071231483
MarIn,4200,100,44422.67071231483
MarCo,4200,100,49633.49327754445
MarDec,4200,100,46533.87944075133
FedAvg,4200,100,85991.33919764402
(MC)2MKP,4300,100,45640.29446179644
MarIn,4300,100,45640.29446179644
MarCo,4300,100,50980.84878213225
MarDec,4300,100,47801.779109652714
FedAvg,4300,100,88562.1439326925
(MC)2MKP,4400,100,46862.207027018994
MarIn,4400,100,46862.207027018994
MarCo,4400,100,52332.10752202715
MarDec,4400,100,49073.69479570639
FedAvg,4400,100,91145.53052087389
(MC)2MKP,4500,100,48088.27893976314
MarIn,4500,100,48088.27893976314
MarCo,4500,100,53687.169601338916
MarDec,4500,100,50349.524686884084
FedAvg,4500,100,93741.21324067748
(MC)2MKP,4600,100,49318.532450681494
MarIn,4600,100,49318.532450681494
MarCo,4600,100,55045.94011220326
MarDec,4600,100,51629.1720192713
FedAvg,4600,100,96348.91905489708
(MC)2MKP,4700,100,50552.77260272408
MarIn,4700,100,50552.77260272408
MarCo,4700,100,56408.32877013744
MarDec,4700,100,52912.54470983218
FedAvg,4700,100,98968.38678457789
(MC)2MKP,4800,100,51790.93047886026
MarIn,4800,100,51790.93047886026
MarCo,4800,100,57774.24958410542
MarDec,4800,100,54199.55502402403
FedAvg,4800,100,101599.36635314618
(MC)2MKP,4900,100,53032.91272317893
MarIn,4900,100,53032.91272317893
MarCo,4900,100,59143.62055725753
MarDec,4900,100,55490.11927421584
FedAvg,4900,100,104241.61809342628
(MC)2MKP,5000,100,54278.69028364971
MarIn,5000,100,54278.69028364971
MarCo,5000,100,60516.36341485953
MarDec,5000,100,56784.15754541681
FedAvg,5000,100,106894.91211113888
